Atrichoblast/Lateral root cap,Atrichoblast,Columella,Cortex,Epidermis,Lateral root cap/Columella,Lateral root cap,Pericycle,Phloem,Protoxylem/Cortex,Quiescent center,Root endodermis,Stele,Stem cell niche,Trichoblast,Xylem pole pericycle,Xylem
0.018535168,0.013603748,0,0,0,0,0.001848618,0.016060669,0.010319505,0.004848958,0,0.003244068,0.004509567,0.006756098,0,0,0
0.005232416,0.006718876,0.007340909,0.00508166,0,0.030547368,0.005295955,0.034164226,0.184742321,0.528307292,0,0.002372881,0.229347936,0.069770732,0,0.011274845,0.399891473
0.201966361,0.100410977,0.28426738,0.187190094,0.130779221,0.260078947,0.201012014,0.04473954,0.050280814,0.393036458,0.011894309,0.084715254,0.006565458,0.043029268,0.170116162,0,0.050945736
0.005217125,0.004401606,0,0.267572959,0.039012987,0.011773684,0.002511414,0.054936192,0.043030315,0.052609375,0,0.008481356,0.095278953,0.012614634,0,0.007881988,0.017914729
0.030889908,0.020595716,0,0.002384203,0,0,0.019635162,0.01616318,0.007996809,0.010536458,0.01695935,0.009428814,0.006986405,0.046004878,0.011085859,0.008990683,0
0.279678899,0.329623829,0.058434492,0.496771084,0.580564935,0.096605263,0.359031237,0.148774059,0.156255684,0.195921875,0.237439024,0.761589831,0.45872709,0.469,0.415474747,0.266751553,0.187290698
0.16166055,0.408654618,0.015382353,0.035009371,0.010233766,0.0091,0.116732479,0.065705021,0.080631033,0.058213542,0.122203252,0.018338983,0.122602216,0.160321951,0.020671717,0.063333851,0.030755814
0.091296636,0.045455154,0.054030749,0.013077644,0.025337662,0.027873684,0.088092111,0.124271967,0.12207499,0.057854167,0.092894309,0.060191525,0.075934542,0.057131707,0.024414141,0.008902174,0.006472868
0.023296636,0.004552878,0.029113636,0,0,0,0.016335603,0,0.003953331,0,0,0.004479661,0.002486908,0.011995122,0,0,0
0.212529052,0.208614458,0.184177807,0.222661312,0.269922078,0.146131579,0.220627553,0.190774059,0.135885122,0.213328125,0.195235772,0.308337288,0.17014149,0.232273171,0.431454545,0.197336957,0.384108527
0.126975535,0.067361446,0.239546791,0.479184739,1.133707792,0.057426316,0.126160192,0.023101464,0.009618269,0.007786458,0,0.039866102,0.005942095,0.094156098,0.035525253,0.003125776,0.007120155
0.318238532,0.390493976,0.190425134,0.24760241,0.349558442,0.142810526,0.260024429,0.192867155,0.127262066,0.163744792,0.325219512,0.312261017,0.226840886,0.239185366,0.422883838,0.228409938,0.338453488
0.004954128,0.00493842,0.002967914,0.006985274,0,0,0.00917501,0.009809623,0.008135221,0.0046875,0.010853659,0.002213559,0.004270896,0,0,0.00348913,0
0.041168196,0.059145917,0.01086631,0.030431058,0,0.012352632,0.04803324,0.047762552,0.038037495,0.034625,0.020235772,0.041271186,0.073950151,0.013980488,0.023575758,0.051136646,0.035674419
0.012214067,0.008649264,0,0.014551539,0.010584416,0,0.011354425,0.020007322,0.016187475,0.055598958,0,0.010386441,0.038574018,0.006170732,0,0.019026398,0
0.024088685,0.005301205,0.014450535,0.01907095,0.027922078,0,0.018055667,0.005830544,0.003554846,0.0046875,0.020837398,0.018528814,0.016063444,0.0172,0.0185,0.012475155,0.01027907
0.033987768,0.013832664,0.015114973,0.003455154,0,0,0.014118542,0.003513598,0.008600718,0,0.01597561,0.001916949,0.007471299,0,0.016611111,0.011217391,0.020166667
0.035207951,0.03397992,0.005358289,0.039618474,0.015766234,0.006152632,0.036645174,0.067083682,0.072471081,0.063536458,0.082723577,0.050555932,0.071753273,0.151404878,0,0.072156832,0
0.009464832,0,0.008171123,0.004052209,0,0,0.007077693,0.017283473,0.006175907,0,0.033585366,0.009947458,0.004833333,0.010482927,0,0.010180124,0.013786822
0.292810398,0.443709505,0.127602941,0.329654618,0.496746753,0.032131579,0.244657589,0.188269874,0.128774232,0.208265625,0.330121951,0.302623729,0.326994461,0.301043902,0.812409091,0.498006211,0.474054264
0.046559633,0.079475234,0,0.00147925,0,0,0.027602323,0.015680962,0.008507379,0,0,0.006325424,0.015355992,0.122463415,0.026272727,0.005037267,0
0.09669419,0.082787149,0.080867647,0.063054886,0.068974026,0.056663158,0.058514217,0.093685146,0.071996809,0.097848958,0.014926829,0.091344068,0.056106747,0.054380488,0.059843434,0.056832298,0.055003876
0.190360856,0.023107095,0.043558824,0.017283802,0.021071429,0.826073684,0.131485382,0.228101464,0.120837256,0.393640625,0,0.06379322,0.001852971,0.009214634,0.005368687,0.004161491,0.007120155
0,0.002617135,0.003014706,0.004542169,0,0,0,0.208111925,0.03923215,0.044302083,0.073073171,0.010445763,0.016005539,0.011214634,0,0.006417702,0
0,0.004220884,0,0,0,0,0.000798959,0.01342887,0.014922218,0,0,0,0.004013092,0.011780488,0,0.008885093,0
0.014342508,0.067496653,0.007808824,0.064202142,0.012051948,0,0.02565038,0.010641213,0.011766653,0.01278125,0.028796748,0.035076271,0.03844713,0.03957561,0.053050505,0.024363354,0.676922481
0.006672783,0.035065596,0.007700535,0.005140562,0,0.022252632,0.009926312,0.003556485,0.002836059,0,0.019390244,0.007716949,0.004829809,0.017107317,0,0.002565217,0.018786822
0.06306422,0.068321285,0.034975936,0.028891566,0.008772727,0,0.059176211,0.057731172,0.03120702,0.024546875,0.097552846,0.02540678,0.051014602,0.067853659,0.008459596,0.043582298,0.010217054
0.310125382,0.13026506,0.169572193,0.21624498,0.071344156,0.201747368,0.256320785,0.483846234,0.313380933,0.5225,0.164081301,0.331220339,0.057119335,0.151263415,0.154318182,0.063869565,0.067368217
0.049021407,0.082104418,0.005004011,0.044809906,0.018844156,0.009731579,0.083754105,0.005405858,0.014099721,0.012614583,0,0.074915254,0.031012588,0.020746341,0.051373737,0.006779503,0.055453488
0,0.013311914,0.002185829,0.001872825,0.02212987,0,0,0.019165272,0.089051456,0,0,0,0.181407855,0.045717073,0,0.068397516,0
0.025801223,0.044368139,0.011061497,0.027531459,0,0,0.016564277,0.072367155,0.109881532,0.0464375,0.059796748,0.027171186,0.141756294,0.045746341,0,0.156273292,0.014046512
0.113825688,0.051069612,0.261314171,0.129004016,0.397350649,0.164610526,0.10839127,0.066754184,0.024813722,0.084838542,0,0.013772881,0.007058409,0.020687805,0.050328283,0.003591615,0.023771318
0.033767584,0.035568942,0.00769385,0.017590361,0.013415584,0,0.012674009,0.029911088,0.012695652,0.006442708,0.020642276,0.052608475,0.021166667,0.0134,0.065030303,0.033,0.015693798
0.056703364,0.067994645,0.008890374,0.032843373,0.02388961,0,0.053844213,0.084781381,0.071376546,0.069609375,0.104113821,0.060766102,0.158918933,0.076668293,0.060474747,0.102313665,0.875775194
0.013981651,0.056717537,0.002570856,0.019441767,0,0,0.017064077,0.012066946,0.007402074,0,0,0.001916949,0.018398288,0.042258537,0,0.033535714,0
0.13358104,0.107191432,0,0.015631861,0,0,0.019260713,0.00860251,0.00905704,0.037395833,0,0.011688136,0.03670997,0.285560976,0.008065657,0.011576087,0.008472868
0.046097859,0.055327979,0.044894385,0.039985274,0.043097403,0.038757895,0.062452944,0.0788159,0.047250499,0.053109375,0.040341463,0.055883051,0.052185297,0.031365854,0.074121212,0.095138199,0.023724806
0.012061162,0.01060241,0,0.005045515,0,0,0.006168602,0.001436192,0,0,0.009341463,0,0.003343907,0.006273171,0,0,0
0.005223242,0.00668407,0.003040107,0.013129853,0.01562987,0,0.008764517,0.02949477,0.01662864,0.161182292,0.010243902,0.076711864,0.044568479,0,0,0.005548137,0.728852713
0.102116208,0.046144578,0.072030749,0.066348059,0.010019481,0.023078947,0.087830997,0.088396444,0.08445712,0.118427083,0.101682927,0.071437288,0.036217019,0.035663415,0.066106061,0.022114907,0.053027132
0.082611621,0.052749665,0.021413102,0.035492637,0,0,0.053697637,0.009444561,0.015891504,0,0.059097561,0.037408475,0.03414149,0.019678049,0.011818182,0.02793323,0.004166667
0.204675841,0.109310576,0.08121123,0.308840696,0.031461039,0.052868421,0.201955146,0.473569038,0.427417631,0.481072917,0.099121951,0.302849153,0.463198892,0.099785366,0.029217172,0.029743789,0.131984496
0.099813456,0.075271754,0.04640508,0.076269076,0.011162338,0.052931579,0.072398879,0.110220711,0.112572796,0.118307292,0.116869919,0.076115254,0.032961229,0.074868293,0.013808081,0.023602484,0.00548062
0,0,0,0,0,0,0,0.001355649,0,0,0,0,0.016137966,0,0,0.036267081,0.006472868
0.017669725,0.039982597,0,0.002748327,0,0,0.001876252,0,0.001534105,0,0.071593496,0,0.017265861,0.060117073,0,0.024835404,0.006379845
0.04812844,0.050243641,0.021118984,0.064127175,0.010233766,0.007331579,0.022477373,0.068379707,0.066162744,0.092973958,0.108349593,0.045647458,0.05813998,0.063619512,0.00659596,0.033102484,0
0.06669419,0.018904953,0.064937166,0.087009371,0.046532468,0.066878947,0.050310773,0.049583682,0.028410451,0.024140625,0.093707317,0.082727119,0.024812689,0,0.097732323,0.009815217,0.015581395
0.017804281,0.035467202,0.012950535,0.026912985,0.100636364,0,0.018835803,0.033362971,0.005382928,0,0.014861789,0.028872881,0.012756798,0.01842439,0.074474747,0.013537267,0.111922481
0.047235474,0.026883534,0.024090909,0.061331995,0.048707792,0.014531579,0.033970364,0.02273954,0.01982489,0.004744792,0.025886179,0.027913559,0.064401813,0.033156098,0.066909091,0.06107764,0.034984496
0,0.040907631,0,0,0.008025974,0,0.005704445,0,0,0,0,0.002183051,0.000822759,0,0.01140404,0,0
0.164727829,0.211597055,0.024636364,0.059239625,0.0265,0,0.102672807,0.056650628,0.049522138,0.04021875,0.089902439,0.037154237,0.118019134,0.249639024,0.025555556,0.128411491,0.037011628
0.044073394,0.132686747,0.011026738,0.032406961,0.024655844,0,0.068123348,0.047266736,0.029454727,0.033348958,0.036593496,0.022340678,0.043640483,0.140956098,0.114909091,0.043517081,0
0.089798165,0.028990629,0.011787433,0.033580991,0.006824675,0,0.02227513,0.026420502,0.023542082,0.041536458,0.047544715,0.014949153,0.014162135,0.008,0.013459596,0.003350932,0.004217054
0.043348624,0.023539491,0.039,0.038350736,0.010980519,0.031489474,0.040804565,0.087360879,0.06280375,0.04390625,0,0.028783051,0.013213494,0.004473171,0.033131313,0.009420807,0.007906977
0.072519878,0.15275502,0.070395722,0.385174029,0.161201299,0.067252632,0.091077693,0.051074268,0.029716793,0.067703125,0.049699187,0.334035593,0.149185297,0.102985366,0.633545455,0.103748447,0.259651163
0.049896024,0.090174029,0.014643048,0.03953012,0,0.023968421,0.046285543,0.074133891,0.048299162,0.06884375,0.082707317,0.045561017,0.061547331,0.029365854,0.051707071,0.053243789,0.044317829
0.018577982,0.045231593,0.010220588,0.003503347,0,0,0.018638767,0.017747908,0.014271241,0.00425,0.027504065,0.007371186,0.02397432,0.036639024,0.00889899,0.017829193,0.010468992
0.076217125,0.091609103,0.005852941,0.060966533,0.045896104,0.010915789,0.065605527,0.056856695,0.030650578,0.03053125,0.070447154,0.074374576,0.080250755,0.092487805,0.104368687,0.071113354,0.110810078
0.003287462,0.002843373,0.005989305,0.005250335,0,0,0.004336804,0.002777197,0.001513761,0.020255208,0,0,0.002654079,0.01917561,0,0.004464286,0.008100775
0.318045872,0.363402945,0.203275401,0.249804552,0.190896104,0.172731579,0.34877533,0.276953975,0.215282808,0.210432292,0.361186992,0.244449153,0.195138973,0.306336585,0.547575758,0.228902174,0.19401938
0,0,0,0,0,0,0.000668402,0,0,0.006338542,0,0,0.00128852,0,0,0,0.435996124
0.045651376,0.096286479,0.054894385,0.07408166,0.02311039,0.044494737,0.072294353,0.09308159,0.05155006,0.065864583,0.070105691,0.054045763,0.053228097,0.063926829,0.050646465,0.055779503,0.067023256
0.160770642,0.106534137,0.223086898,0.143986613,0.282525974,0.297326316,0.155156187,0.157084728,0.110370164,0.146369792,0.171943089,0.19690678,0.091121349,0.097243902,0.201252525,0.074540373,0.146131783
0.029079511,0.025796519,0.020947861,0.019057564,0.015805195,0.012368421,0.029964357,0.041752092,0.034364978,0.026958333,0.020422764,0.011267797,0.020725076,0.015604878,0,0.015385093,0
0.063061162,0.067796519,0.017508021,0.029440428,0.010233766,0.018078947,0.03984141,0.126850418,0.084710012,0.074380208,0.085227642,0.046925424,0.039187311,0.075673171,0.063050505,0.030809006,0.006085271
0.030217125,0.032678715,0.02857754,0.034088353,0.029474026,0.021773684,0.035759311,0.04649477,0.039828879,0.058114583,0.043934959,0.035333898,0.031689829,0.040312195,0.039631313,0.026305901,0.01553876
